dataset,threshold,n_accepted,accept_rate,accuracy_on_accepted,ece_on_accepted
full_aug_test_biased,0.010000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.020000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.030000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.040000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.050000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.060000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.070000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.080000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.090000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.100000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.110000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.120000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.130000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.140000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.150000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.160000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.170000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.180000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.190000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.200000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.210000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.220000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.230000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.240000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.250000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.260000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.270000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.280000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.290000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.300000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.310000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.320000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.330000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.340000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.350000,780,1.000000,0.976923,0.035722
full_aug_test_biased,0.360000,779,0.998718,0.976893,0.034946
full_aug_test_biased,0.370000,779,0.998718,0.976893,0.034946
full_aug_test_biased,0.380000,779,0.998718,0.976893,0.034946
full_aug_test_biased,0.390000,779,0.998718,0.976893,0.034946
full_aug_test_biased,0.400000,779,0.998718,0.976893,0.034946
full_aug_test_biased,0.410000,779,0.998718,0.976893,0.034946
full_aug_test_biased,0.420000,779,0.998718,0.976893,0.034946
full_aug_test_biased,0.430000,779,0.998718,0.976893,0.034946
full_aug_test_biased,0.440000,779,0.998718,0.976893,0.034946
full_aug_test_biased,0.450000,777,0.996154,0.978121,0.034905
full_aug_test_biased,0.460000,777,0.996154,0.978121,0.034905
full_aug_test_biased,0.470000,775,0.993590,0.979355,0.034904
full_aug_test_biased,0.480000,772,0.989744,0.979275,0.033006
full_aug_test_biased,0.490000,770,0.987179,0.980519,0.033046
full_aug_test_biased,0.500000,770,0.987179,0.980519,0.033046
full_aug_test_biased,0.510000,770,0.987179,0.980519,0.033046
full_aug_test_biased,0.520000,769,0.985897,0.980494,0.032464
full_aug_test_biased,0.530000,769,0.985897,0.980494,0.032464
full_aug_test_biased,0.540000,767,0.983333,0.980443,0.031337
full_aug_test_biased,0.550000,765,0.980769,0.980392,0.030234
full_aug_test_biased,0.560000,765,0.980769,0.980392,0.030234
full_aug_test_biased,0.570000,765,0.980769,0.980392,0.030234
full_aug_test_biased,0.580000,765,0.980769,0.980392,0.030234
full_aug_test_biased,0.590000,763,0.978205,0.981651,0.030538
full_aug_test_biased,0.600000,762,0.976923,0.981627,0.030050
full_aug_test_biased,0.610000,761,0.975641,0.982917,0.030880
full_aug_test_biased,0.620000,761,0.975641,0.982917,0.030880
full_aug_test_biased,0.630000,759,0.973077,0.982872,0.029974
full_aug_test_biased,0.640000,758,0.971795,0.982850,0.029529
full_aug_test_biased,0.650000,757,0.970513,0.982827,0.029103
full_aug_test_biased,0.660000,755,0.967949,0.982781,0.028265
full_aug_test_biased,0.670000,755,0.967949,0.982781,0.028265
full_aug_test_biased,0.680000,753,0.965385,0.984064,0.028807
full_aug_test_biased,0.690000,751,0.962821,0.984021,0.028046
full_aug_test_biased,0.700000,748,0.958974,0.983957,0.026931
full_aug_test_biased,0.710000,748,0.958974,0.983957,0.026931
full_aug_test_biased,0.720000,747,0.957692,0.983936,0.026586
full_aug_test_biased,0.730000,745,0.955128,0.983893,0.025912
full_aug_test_biased,0.740000,744,0.953846,0.983871,0.025590
full_aug_test_biased,0.750000,742,0.951282,0.985175,0.026317
full_aug_test_biased,0.760000,738,0.946154,0.985095,0.025126
full_aug_test_biased,0.770000,734,0.941026,0.987738,0.026710
full_aug_test_biased,0.780000,733,0.939744,0.987722,0.026438
full_aug_test_biased,0.790000,729,0.934615,0.987654,0.025399
full_aug_test_biased,0.800000,726,0.930769,0.987603,0.024653
full_aug_test_biased,0.810000,722,0.925641,0.988920,0.025082
full_aug_test_biased,0.820000,719,0.921795,0.988873,0.024410
full_aug_test_biased,0.830000,713,0.914103,0.990182,0.024522
full_aug_test_biased,0.840000,708,0.907692,0.992938,0.026362
full_aug_test_biased,0.850000,704,0.902564,0.992898,0.025635
full_aug_test_biased,0.860000,693,0.888462,0.992785,0.023731
full_aug_test_biased,0.870000,689,0.883333,0.994194,0.024537
full_aug_test_biased,0.880000,681,0.873077,0.994126,0.023357
full_aug_test_biased,0.890000,670,0.858974,0.994030,0.021852
full_aug_test_biased,0.900000,658,0.843590,0.995441,0.021876
full_aug_test_biased,0.910000,652,0.835897,0.995399,0.021191
full_aug_test_biased,0.920000,635,0.814103,0.998425,0.022619
full_aug_test_biased,0.930000,618,0.792308,1.000000,0.022812
full_aug_test_biased,0.940000,601,0.770513,1.000000,0.021650
full_aug_test_biased,0.950000,560,0.717949,1.000000,0.019224
full_aug_test_biased,0.960000,531,0.680769,1.000000,0.017773
full_aug_test_biased,0.970000,453,0.580769,1.000000,0.014702
full_aug_test_biased,0.980000,364,0.466667,1.000000,0.012202
full_aug_test_biased,0.990000,132,0.169231,1.000000,0.006570
